product-id,product-title,origin_country,origin_region,origin_farm,origin_altitude_m,origin_process,roast_level,roast_roasted_on,roast_roaster,flavor_notes,tags,tasting_score_acidity,tasting_score_body,tasting_score_sweetness,tasting_score_aroma,tasting_score_bitterness,in_stock,description,variant_size,variant_grind,variant_price_eur,variant_stock,variant-id,variant_index
BEAN-0004,"Goroutine Gold","Mount Olympus",Pelion,"Finca The Repo",2987,honey,french,2025-12-13,"SIGTERM Single Origin","cardamom,lavender,berry,peanut butter","single-origin,fair-trade,blend,decaf",3,7,10,2,7,1,500g,turkish,27.13,28,BEAN-0004-500g-TUR,2
BEAN-0004,"Goroutine Gold","Mount Olympus",Pelion,"Finca The Repo",2987,honey,french,2025-12-13,"SIGTERM Single Origin","cardamom,lavender,berry,peanut butter","single-origin,fair-trade,blend,decaf",3,7,10,2,7,1,500g,french_press,23.27,0,BEAN-0004-500g-FRE,3
BEAN-0005,"Boss Battle Brew",Avalon,"Apple Isle","Finca The Repo",,washed,french,2026-02-24,"The Daily Brew","brown sugar,grapefruit,citrus,lavender","production-ready,compile-grade",1,10,6,8,1,,"Tastes of certainty, with a hint of doubt.",500g,espresso,22.46,145,BEAN-0005-500g-ESP,0
BEAN-0005,"Boss Battle Brew",Avalon,"Apple Isle","Finca The Repo",,washed,french,2026-02-24,"The Daily Brew","brown sugar,grapefruit,citrus,lavender","production-ready,compile-grade",1,10,6,8,1,,"Tastes of certainty, with a hint of doubt.",100g,whole_bean,9.86,17,BEAN-0005-100g-WHO,1
BEAN-0006,"White Dwarf Drip",Tanzania,Kilimanjaro,"Finca Loop Holdings",1584,wet-hulled,dark,2026-01-23,"Loops & Beans","Sunday afternoon,regret,the smell of merged PRs,grapefruit","rainforest-alliance,shade-grown,nerd-approved",9,8,2,4,4,,"Smooth like a well-balanced API.",250g,moka,12.76,18,BEAN-0006-250g-MOK,0
BEAN-0007,"Quantum Espresso",Ethiopia,Yirgacheffe,"Finca The Mainframe",2063,honey,french,2026-01-07,"Loops & Beans","peanut butter,regret,honey,smoky","developer-fuel,bird-friendly",4,2,2,7,6,1,"Now with 30% fewer race conditions.",100g,aeropress,9.23,165,BEAN-0007-100g-AER,0
BEAN-0007,"Quantum Espresso",Ethiopia,Yirgacheffe,"Finca The Mainframe",2063,honey,french,2026-01-07,"Loops & Beans","peanut butter,regret,honey,smoky","developer-fuel,bird-friendly",4,2,2,7,6,1,"Now with 30% fewer race conditions.",100g,whole_bean,7.22,86,BEAN-0007-100g-WHO,1
BEAN-0007,"Quantum Espresso",Ethiopia,Yirgacheffe,"Finca The Mainframe",2063,honey,french,2026-01-07,"Loops & Beans","peanut butter,regret,honey,smoky","developer-fuel,bird-friendly",4,2,2,7,6,1,"Now with 30% fewer race conditions.",100g,espresso,5.53,137,BEAN-0007-100g-ESP,2
BEAN-0008,"Race Condition Cold Brew","Costa Rica",Tarrazú,"Finca The Repo",1913,washed,light,2025-11-26,"Brewed in Berlin",,small-batch,3,7,8,8,4,1,"Fuel for the 3am production incident.",250g,french_press,11.02,99,BEAN-0008-250g-FRE,0
BEAN-0008,"Race Condition Cold Brew","Costa Rica",Tarrazú,"Finca The Repo",1913,washed,light,2025-11-26,"Brewed in Berlin",,small-batch,3,7,8,8,4,1,"Fuel for the 3am production incident.",500g,turkish,28.28,73,BEAN-0008-500g-TUR,1
BEAN-0008,"Race Condition Cold Brew","Costa Rica",Tarrazú,"Finca The Repo",1913,washed,light,2025-11-26,"Brewed in Berlin",,small-batch,3,7,8,8,4,1,"Fuel for the 3am production incident.",1kg,aeropress,50.66,200,BEAN-0008-1kg-AER,2
BEAN-0008,"Race Condition Cold Brew","Costa Rica",Tarrazú,"Finca The Repo",1913,washed,light,2025-11-26,"Brewed in Berlin",,small-batch,3,7,8,8,4,1,"Fuel for the 3am production incident.",1kg,espresso,44.52,55,BEAN-0008-1kg-ESP,3
BEAN-0009,"Monad Mocha",Colombia,Antioquia,"Finca Branch Estate",1325,anaerobic,dark,2025-12-27,"O(1) Coffee",,espresso-friendly,2,10,2,4,7,,"If found defective, please file a bug report.",250g,moka,15.76,158,BEAN-0009-250g-MOK,0
BEAN-0009,"Monad Mocha",Colombia,Antioquia,"Finca Branch Estate",1325,anaerobic,dark,2025-12-27,"O(1) Coffee",,espresso-friendly,2,10,2,4,7,,"If found defective, please file a bug report.",100g,french_press,9.26,144,BEAN-0009-100g-FRE,1
BEAN-0009,"Monad Mocha",Colombia,Antioquia,"Finca Branch Estate",1325,anaerobic,dark,2025-12-27,"O(1) Coffee",,espresso-friendly,2,10,2,4,7,,"If found defective, please file a bug report.",500g,filter,23.63,183,BEAN-0009-500g-FIL,2
BEAN-0009,"Monad Mocha",Colombia,Antioquia,"Finca Branch Estate",1325,anaerobic,dark,2025-12-27,"O(1) Coffee",,espresso-friendly,2,10,2,4,7,,"If found defective, please file a bug report.",500g,espresso,24.12,33,BEAN-0009-500g-ESP,3
BEAN-0010,"Race Condition Cold Brew",Colombia,Huila,"Finca Branch Estate",1734,wet-hulled,light,2026-04-23,"Brewed in Berlin",peach,"decaf,shade-grown,single-origin",4,6,5,3,8,1,"Brewed under the careful eye of our QA team.",100g,aeropress,10.54,76,BEAN-0010-100g-AER,0
BEAN-0010,"Race Condition Cold Brew",Colombia,Huila,"Finca Branch Estate",1734,wet-hulled,light,2026-04-23,"Brewed in Berlin",peach,"decaf,shade-grown,single-origin",4,6,5,3,8,1,"Brewed under the careful eye of our QA team.",100g,espresso,6.12,27,BEAN-0010-100g-ESP,1
BEAN-0010,"Race Condition Cold Brew",Colombia,Huila,"Finca Branch Estate",1734,wet-hulled,light,2026-04-23,"Brewed in Berlin",peach,"decaf,shade-grown,single-origin",4,6,5,3,8,1,"Brewed under the careful eye of our QA team.",250g,filter,13.25,53,BEAN-0010-250g-FIL,2
BEAN-0011,"Boss Battle Brew",Kenya,Nyeri,"Finca La Esperanza",1828,washed,french,2026-01-23,"Stack Trace Roasters",,direct-trade,3,5,3,8,9,1,100g,whole_bean,11.56,176,BEAN-0011-100g-WHO,0
BEAN-0011,"Boss Battle Brew",Kenya,Nyeri,"Finca La Esperanza",1828,washed,french,2026-01-23,"Stack Trace Roasters",,direct-trade,3,5,3,8,9,1,250g,moka,11.29,94,BEAN-0011-250g-MOK,1
BEAN-0011,"Boss Battle Brew",Kenya,Nyeri,"Finca La Esperanza",1828,washed,french,2026-01-23,"Stack Trace Roasters",,direct-trade,3,5,3,8,9,1,250g,french_press,12.02,78,BEAN-0011-250g-FRE,2
BEAN-0012,"Recursive Espresso",Guatemala,Antigua,"Finca Commit Hill",1507,natural,french,2026-04-15,"Tail Call Tea","clove,maple syrup,ambition,citrus","espresso-friendly,battle-tested",7,1,3,6,7,1,"Single-origin, single-threaded, single-purpose.",250g,filter,12.27,179,BEAN-0012-250g-FIL,0
BEAN-0012,"Recursive Espresso",Guatemala,Antigua,"Finca Commit Hill",1507,natural,french,2026-04-15,"Tail Call Tea","clove,maple syrup,ambition,citrus","espresso-friendly,battle-tested",7,1,3,6,7,1,"Single-origin, single-threaded, single-purpose.",100g,french_press,10.98,120,BEAN-0012-100g-FRE,1
BEAN-0012,"Recursive Espresso",Guatemala,Antigua,"Finca Commit Hill",1507,natural,french,2026-04-15,"Tail Call Tea","clove,maple syrup,ambition,citrus","espresso-friendly,battle-tested",7,1,3,6,7,1,"Single-origin, single-threaded, single-purpose.",250g,espresso,17.53,117,BEAN-0012-250g-ESP,2
BEAN-0012,"Recursive Espresso",Guatemala,Antigua,"Finca Commit Hill",1507,natural,french,2026-04-15,"Tail Call Tea","clove,maple syrup,ambition,citrus","espresso-friendly,battle-tested",7,1,3,6,7,1,"Single-origin, single-threaded, single-purpose.",500g,filter,28.56,58,BEAN-0012-500g-FIL,3
BEAN-0013,"Mutex Latte",Avalon,"Apple Isle","Finca Null Acres",42,wet-hulled,medium-dark,2025-11-19,"Brewed in Berlin","dark chocolate,walnut","espresso-friendly,open-source,limited-edition",1,2,10,7,6,1,100g,french_press,11.2,48,BEAN-0013-100g-FRE,0
BEAN-0013,"Mutex Latte",Avalon,"Apple Isle","Finca Null Acres",42,wet-hulled,medium-dark,2025-11-19,"Brewed in Berlin","dark chocolate,walnut","espresso-friendly,open-source,limited-edition",1,2,10,7,6,1,500g,whole_bean,27.67,0,BEAN-0013-500g-WHO,1
BEAN-0014,"Knight's Nightcap","Mount Olympus",Pelion,"Finca The Mainframe",3043,honey,medium-dark,2026-04-24,"FIFO Coffee Bar","maple syrup,jasmine",seasonal,9,5,7,6,7,1,"If found defective, please file a bug report.",250g,french_press,16.32,97,BEAN-0014-250g-FRE,0
BEAN-0014,"Knight's Nightcap","Mount Olympus",Pelion,"Finca The Mainframe",3043,honey,medium-dark,2026-04-24,"FIFO Coffee Bar","maple syrup,jasmine",seasonal,9,5,7,6,7,1,"If found defective, please file a bug report.",250g,moka,15.55,103,BEAN-0014-250g-MOK,1
BEAN-0014,"Knight's Nightcap","Mount Olympus",Pelion,"Finca The Mainframe",3043,honey,medium-dark,2026-04-24,"FIFO Coffee Bar","maple syrup,jasmine",seasonal,9,5,7,6,7,1,"If found defective, please file a bug report.",100g,filter,6.3,110,BEAN-0014-100g-FIL,2
BEAN-0015,"Time Dilation Drip",Panama,Boquete,"Finca The Repo",1409,anaerobic,french,2026-03-29,"FIFO Coffee Bar",,"compile-grade,direct-trade,single-origin",4,5,4,4,3,,"Pairs well with rubber duck debugging.",1kg,moka,49.8,18,BEAN-0015-1kg-MOK,0
BEAN-0015,"Time Dilation Drip",Panama,Boquete,"Finca The Repo",1409,anaerobic,french,2026-03-29,"FIFO Coffee Bar",,"compile-grade,direct-trade,single-origin",4,5,4,4,3,,"Pairs well with rubber duck debugging.",1kg,french_press,50.09,147,BEAN-0015-1kg-FRE,1
BEAN-0016,"Bitwise Brew",Jamaica,"Blue Mountain","Finca La Esperanza",1652,washed,medium-dark,2026-03-16,"O(1) Coffee","woody,caramel,pineapple,blueberry",nerd-approved,3,8,9,9,10,1,"Brewed under the careful eye of our QA team.",1kg,moka,49.52,129,BEAN-0016-1kg-MOK,0
BEAN-0016,"Bitwise Brew",Jamaica,"Blue Mountain","Finca La Esperanza",1652,washed,medium-dark,2026-03-16,"O(1) Coffee","woody,caramel,pineapple,blueberry",nerd-approved,3,8,9,9,10,1,"Brewed under the careful eye of our QA team.",1kg,turkish,50.25,114,BEAN-0016-1kg-TUR,1
BEAN-0016,"Bitwise Brew",Jamaica,"Blue Mountain","Finca La Esperanza",1652,washed,medium-dark,2026-03-16,"O(1) Coffee","woody,caramel,pineapple,blueberry",nerd-approved,3,8,9,9,10,1,"Brewed under the careful eye of our QA team.",250g,aeropress,17.89,115,BEAN-0016-250g-AER,2
BEAN-0017,"Necromancer Nitro",Rwanda,Nyamasheke,"Finca Commit Hill",1848,natural,33.3024,-4.3151,medium,2026-01-19,"Isotope Roasters","blueberry,raspberry","direct-trade,production-ready,single-origin",3,3,4,7,3,1,1kg,filter,47.34,106,BEAN-0017-1kg-FIL,0
BEAN-0018,"404: Bean Not Found",Xanadu,"Summer Palace","Finca The Sandbox",1650,wet-hulled,medium-dark,2026-01-09,"Bit Roasters","floral,Sunday afternoon","bird-friendly,production-ready,open-source,small-batch",8,4,5,7,8,,"Smooth like a well-balanced API.",1kg,aeropress,44.32,119,BEAN-0018-1kg-AER,0
BEAN-0018,"404: Bean Not Found",Xanadu,"Summer Palace","Finca The Sandbox",1650,wet-hulled,medium-dark,2026-01-09,"Bit Roasters","floral,Sunday afternoon","bird-friendly,production-ready,open-source,small-batch",8,4,5,7,8,,"Smooth like a well-balanced API.",250g,moka,15.27,100,BEAN-0018-250g-MOK,1
BEAN-0019,"Daemon Drink",Xanadu,"Summer Palace","Finca Bit Bucket",1436,washed,medium,2026-02-03,"Cache Coherence Coffee",woody,"direct-trade,rainforest-alliance,limited-edition",7,5,2,8,1,1,"A bold roast that compiles cleanly on the first run.",500g,espresso,27.2,199,BEAN-0019-500g-ESP,0
BEAN-0020,"Regex Roast",Hyperborea,"Northern Reaches","Finca Branch Estate",1310,natural,23.343,47.9933,medium-light,2026-04-09,"Idempotent Espresso",,"nerd-approved,limited-edition",6,3,10,10,2,1,"Has been peer-reviewed.",500g,whole_bean,26.63,79,BEAN-0020-500g-WHO,0
BEAN-0020,"Regex Roast",Hyperborea,"Northern Reaches","Finca Branch Estate",1310,natural,23.343,47.9933,medium-light,2026-04-09,"Idempotent Espresso",,"nerd-approved,limited-edition",6,3,10,10,2,1,"Has been peer-reviewed.",1kg,french_press,50.53,50,BEAN-0020-1kg-FRE,1
BEAN-0021,"Riemann Roast",Hawaii,Kona,"Finca San Miguel",1012,wet-hulled,light,2026-02-12,"Brewed in Berlin","compile-time aroma,lavender,vanilla","organic,bird-friendly,developer-fuel",2,7,6,8,3,1,"Has been peer-reviewed.",500g,moka,28.47,137,BEAN-0021-500g-MOK,0
BEAN-0021,"Riemann Roast",Hawaii,Kona,"Finca San Miguel",1012,wet-hulled,light,2026-02-12,"Brewed in Berlin","compile-time aroma,lavender,vanilla","organic,bird-friendly,developer-fuel",2,7,6,8,3,1,"Has been peer-reviewed.",1kg,french_press,46.48,187,BEAN-0021-1kg-FRE,1
BEAN-0021,"Riemann Roast",Hawaii,Kona,"Finca San Miguel",1012,wet-hulled,light,2026-02-12,"Brewed in Berlin","compile-time aroma,lavender,vanilla","organic,bird-friendly,developer-fuel",2,7,6,8,3,1,"Has been peer-reviewed.",500g,filter,28.81,22,BEAN-0021-500g-FIL,2
BEAN-0022,"Euler's Espresso",Panama,Boquete,"Finca Null Acres",1494,washed,medium-dark,2026-02-17,"O(1) Coffee","bergamot,hibiscus,strawberry","limited-edition,battle-tested,production-ready",1,9,4,2,4,1,"Pairs well with rubber duck debugging.",250g,aeropress,14.81,182,BEAN-0022-250g-AER,0
BEAN-0022,"Euler's Espresso",Panama,Boquete,"Finca Null Acres",1494,washed,medium-dark,2026-02-17,"O(1) Coffee","bergamot,hibiscus,strawberry","limited-edition,battle-tested,production-ready",1,9,4,2,4,1,"Pairs well with rubber duck debugging.",1kg,french_press,49.34,23,BEAN-0022-1kg-FRE,1
BEAN-0022,"Euler's Espresso",Panama,Boquete,"Finca Null Acres",1494,washed,medium-dark,2026-02-17,"O(1) Coffee","bergamot,hibiscus,strawberry","limited-edition,battle-tested,production-ready",1,9,4,2,4,1,"Pairs well with rubber duck debugging.",500g,espresso,25.24,62,BEAN-0022-500g-ESP,2
BEAN-0023,"Andromeda Espresso",Nicaragua,Jinotega,"Finca The Repo",1681,honey,medium,2025-11-13,"Eventual Consistency Roasting","floral,strawberry","blend,filter-friendly",6,2,9,3,4,1,"Has been peer-reviewed.",500g,whole_bean,28.66,75,BEAN-0023-500g-WHO,0
BEAN-0023,"Andromeda Espresso",Nicaragua,Jinotega,"Finca The Repo",1681,honey,medium,2025-11-13,"Eventual Consistency Roasting","floral,strawberry","blend,filter-friendly",6,2,9,3,4,1,"Has been peer-reviewed.",250g,filter,12.44,3,BEAN-0023-250g-FIL,1
BEAN-0023,"Andromeda Espresso",Nicaragua,Jinotega,"Finca The Repo",1681,honey,medium,2025-11-13,"Eventual Consistency Roasting","floral,strawberry","blend,filter-friendly",6,2,9,3,4,1,"Has been peer-reviewed.",100g,whole_bean,8.43,178,BEAN-0023-100g-WHO,2
BEAN-0024,"Stack Overflow Blend",India,Karnataka,"Finca Stack Plantation",1045,anaerobic,medium-dark,2026-02-13,"O(1) Coffee",,"developer-fuel,blend,single-origin",7,8,2,10,1,1,"Recommended by 9 out of 10 over-tired developers.",500g,whole_bean,29.95,30,BEAN-0024-500g-WHO,0
BEAN-0024,"Stack Overflow Blend",India,Karnataka,"Finca Stack Plantation",1045,anaerobic,medium-dark,2026-02-13,"O(1) Coffee",,"developer-fuel,blend,single-origin",7,8,2,10,1,1,"Recommended by 9 out of 10 over-tired developers.",1kg,moka,47.77,158,BEAN-0024-1kg-MOK,1
BEAN-0024,"Stack Overflow Blend",India,Karnataka,"Finca Stack Plantation",1045,anaerobic,medium-dark,2026-02-13,"O(1) Coffee",,"developer-fuel,blend,single-origin",7,8,2,10,1,1,"Recommended by 9 out of 10 over-tired developers.",250g,turkish,15.18,115,BEAN-0024-250g-TUR,2
BEAN-0024,"Stack Overflow Blend",India,Karnataka,"Finca Stack Plantation",1045,anaerobic,medium-dark,2026-02-13,"O(1) Coffee",,"developer-fuel,blend,single-origin",7,8,2,10,1,1,"Recommended by 9 out of 10 over-tired developers.",1kg,filter,49.88,109,BEAN-0024-1kg-FIL,3
BEAN-0025,"Boolean Bean",Avalon,"Apple Isle","Finca Commit Hill",6,natural,-8.6603,-31.798,medium,2025-11-23,"Isotope Roasters",blueberry,"production-ready,single-origin",3,1,7,8,10,1,500g,aeropress,24.26,116,BEAN-0025-500g-AER,0
BEAN-0026,"Tavern Triple Shot",Vietnam,"Đắk Lắk","Finca San Miguel",617,wet-hulled,medium-light,2025-11-27,"The Recursion Roastery","citrus,vanilla",espresso-friendly,5,10,10,5,8,,"Ships with no warranty, express or implied.",1kg,filter,47,126,BEAN-0026-1kg-FIL,0
BEAN-0026,"Tavern Triple Shot",Vietnam,"Đắk Lắk","Finca San Miguel",617,wet-hulled,medium-light,2025-11-27,"The Recursion Roastery","citrus,vanilla",espresso-friendly,5,10,10,5,8,,"Ships with no warranty, express or implied.",1kg,whole_bean,47.78,110,BEAN-0026-1kg-WHO,1
BEAN-0026,"Tavern Triple Shot",Vietnam,"Đắk Lắk","Finca San Miguel",617,wet-hulled,medium-light,2025-11-27,"The Recursion Roastery","citrus,vanilla",espresso-friendly,5,10,10,5,8,,"Ships with no warranty, express or implied.",500g,moka,24,23,BEAN-0026-500g-MOK,2
BEAN-0027,"404: Bean Not Found ☕",Avalon,"Apple Isle","Finca Loop Holdings",244,wet-hulled,light,2026-03-28,"Idempotent Espresso","uncertainty,earthy,raspberry,orange","developer-fuel,single-origin,battle-tested,shade-grown",7,6,6,2,3,1,500g,aeropress,29.56,194,BEAN-0027-500g-AER,0
BEAN-0027,"404: Bean Not Found ☕",Avalon,"Apple Isle","Finca Loop Holdings",244,wet-hulled,light,2026-03-28,"Idempotent Espresso","uncertainty,earthy,raspberry,orange","developer-fuel,single-origin,battle-tested,shade-grown",7,6,6,2,3,1,100g,french_press,4.7,64,BEAN-0027-100g-FRE,1
BEAN-0027,"404: Bean Not Found ☕",Avalon,"Apple Isle","Finca Loop Holdings",244,wet-hulled,light,2026-03-28,"Idempotent Espresso","uncertainty,earthy,raspberry,orange","developer-fuel,single-origin,battle-tested,shade-grown",7,6,6,2,3,1,500g,whole_bean,29.76,103,BEAN-0027-500g-WHO,2
BEAN-0028,"Save Point Sumatra","Costa Rica",Tarrazú,"Finca La Esperanza",1711,natural,dark,2026-02-08,"Roast & Roll","spacetime,earthy,Sunday afternoon",filter-friendly,5,9,3,5,8,1,"Ships with no warranty, express or implied.",100g,aeropress,8.87,61,BEAN-0028-100g-AER,0
BEAN-0028,"Save Point Sumatra","Costa Rica",Tarrazú,"Finca La Esperanza",1711,natural,dark,2026-02-08,"Roast & Roll","spacetime,earthy,Sunday afternoon",filter-friendly,5,9,3,5,8,1,"Ships with no warranty, express or implied.",250g,filter,15.41,141,BEAN-0028-250g-FIL,1
BEAN-0028,"Save Point Sumatra","Costa Rica",Tarrazú,"Finca La Esperanza",1711,natural,dark,2026-02-08,"Roast & Roll","spacetime,earthy,Sunday afternoon",filter-friendly,5,9,3,5,8,1,"Ships with no warranty, express or implied.",1kg,whole_bean,44.8,29,BEAN-0028-1kg-WHO,2
BEAN-0029,"Wizard's Wakeup",Honduras,Copán,"Finca Pure Functional Farm",1560,honey,medium-dark,2026-01-08,"Idempotent Espresso",woody,"rainforest-alliance,filter-friendly",10,9,3,2,5,1,"If found defective, please file a bug report.",500g,turkish,26.06,0,BEAN-0029-500g-TUR,0
BEAN-0029,"Wizard's Wakeup",Honduras,Copán,"Finca Pure Functional Farm",1560,honey,medium-dark,2026-01-08,"Idempotent Espresso",woody,"rainforest-alliance,filter-friendly",10,9,3,2,5,1,"If found defective, please file a bug report.",500g,aeropress,24.39,150,BEAN-0029-500g-AER,1
BEAN-0029,"Wizard's Wakeup",Honduras,Copán,"Finca Pure Functional Farm",1560,honey,medium-dark,2026-01-08,"Idempotent Espresso",woody,"rainforest-alliance,filter-friendly",10,9,3,2,5,1,"If found defective, please file a bug report.",1kg,turkish,44.19,137,BEAN-0029-1kg-TUR,2
BEAN-0029,"Wizard's Wakeup",Honduras,Copán,"Finca Pure Functional Farm",1560,honey,medium-dark,2026-01-08,"Idempotent Espresso",woody,"rainforest-alliance,filter-friendly",10,9,3,2,5,1,"If found defective, please file a bug report.",1kg,filter,45.66,195,BEAN-0029-1kg-FIL,3
BEAN-0030,"Elven Espresso",Indonesia,Sumatra,"Finca Heap Hill",1392,natural,-2.0004,58.3586,medium-dark,2026-04-30,"Cache Coherence Coffee","victory,cinnamon,compile-time aroma","developer-fuel,fair-trade",3,9,10,6,2,1,"If found defective, please file a bug report.",1kg,whole_bean,48.78,104,BEAN-0030-1kg-WHO,0
BEAN-0030,"Elven Espresso",Indonesia,Sumatra,"Finca Heap Hill",1392,natural,-2.0004,58.3586,medium-dark,2026-04-30,"Cache Coherence Coffee","victory,cinnamon,compile-time aroma","developer-fuel,fair-trade",3,9,10,6,2,1,"If found defective, please file a bug report.",250g,whole_bean,14.76,67,BEAN-0030-250g-WHO,1
BEAN-0030,"Elven Espresso",Indonesia,Sumatra,"Finca Heap Hill",1392,natural,-2.0004,58.3586,medium-dark,2026-04-30,"Cache Coherence Coffee","victory,cinnamon,compile-time aroma","developer-fuel,fair-trade",3,9,10,6,2,1,"If found defective, please file a bug report.",500g,moka,27.54,166,BEAN-0030-500g-MOK,2
BEAN-0031,"Rogue Roast",Kenya,Nyeri,"Finca The Repo",2146,washed,dark,2026-04-24,"Function Call Cafe","berry,ambition",bird-friendly,2,2,8,3,5,1,"Recommended by 9 out of 10 over-tired developers.",100g,filter,6.87,110,BEAN-0031-100g-FIL,0
BEAN-0032,"TCP Triple-Shot",Brazil,Mogiana,"Finca San Miguel",989,wet-hulled,medium-dark,2025-12-04,"FIFO Coffee Bar",tobacco,"small-batch,nerd-approved",5,8,5,1,8,1,250g,whole_bean,14.53,88,BEAN-0032-250g-WHO,0
BEAN-0032,"TCP Triple-Shot",Brazil,Mogiana,"Finca San Miguel",989,wet-hulled,medium-dark,2025-12-04,"FIFO Coffee Bar",tobacco,"small-batch,nerd-approved",5,8,5,1,8,1,500g,aeropress,29.7,176,BEAN-0032-500g-AER,1
BEAN-0032,"TCP Triple-Shot",Brazil,Mogiana,"Finca San Miguel",989,wet-hulled,medium-dark,2025-12-04,"FIFO Coffee Bar",tobacco,"small-batch,nerd-approved",5,8,5,1,8,1,500g,french_press,28.76,50,BEAN-0032-500g-FRE,2
BEAN-0033,"Singularity Sumatra ☕",India,Karnataka,"Finca Branch Estate",1083,honey,french,2026-02-25,"Bit Roasters","raspberry,chocolate,honey",battle-tested,8,5,4,10,6,1,"Pairs well with rubber duck debugging.",500g,aeropress,28.04,196,BEAN-0033-500g-AER,0
BEAN-0033,"Singularity Sumatra ☕",India,Karnataka,"Finca Branch Estate",1083,honey,french,2026-02-25,"Bit Roasters","raspberry,chocolate,honey",battle-tested,8,5,4,10,6,1,"Pairs well with rubber duck debugging.",250g,aeropress,11.78,160,BEAN-0033-250g-AER,1
BEAN-0034,"Black Hole Brew","Mount Olympus",Pelion,"Finca San Miguel",2767,honey,medium,2026-01-25,"O(1) Coffee","peanut butter","compile-grade,battle-tested,limited-edition",3,5,8,5,6,1,"Brewed under the careful eye of our QA team.",100g,espresso,10.03,57,BEAN-0034-100g-ESP,0
BEAN-0034,"Black Hole Brew","Mount Olympus",Pelion,"Finca San Miguel",2767,honey,medium,2026-01-25,"O(1) Coffee","peanut butter","compile-grade,battle-tested,limited-edition",3,5,8,5,6,1,"Brewed under the careful eye of our QA team.",1kg,turkish,49.44,93,BEAN-0034-1kg-TUR,1
BEAN-0034,"Black Hole Brew","Mount Olympus",Pelion,"Finca San Miguel",2767,honey,medium,2026-01-25,"O(1) Coffee","peanut butter","compile-grade,battle-tested,limited-edition",3,5,8,5,6,1,"Brewed under the careful eye of our QA team.",100g,turkish,7.16,67,BEAN-0034-100g-TUR,2
